Gene,Pattern_1 x Pattern_4,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
MFAP1,vsBoth,2207,3,2,53.9107129975791,1.96533873981565e-12,1.79107643805864e-11,-5.59806812332252,-2.25349479811596,6.2935443689109,2.16753584155241e-08,0.0242279683521185,3.10297759569673e-10,1.46974636094846e-07,0.0464058778436731,2.6594960626392e-09
KRT5,vsBoth,2207,3,2,53.8790268066956,1.99672375042854e-12,1.81889189025203e-11,-5.38315147125071,-7.20477844455992,-3.0033852729385,7.3192895110771e-08,5.81383028560505e-13,0.00266994194056147,4.60329134965281e-07,6.53627916090697e-12,0.00661364943494616
ARPC2,vsBoth,2207,3,2,53.4536563776107,2.46993769869948e-12,2.23450353420344e-11,-4.91435863885495,-7.02938925608275,-3.55436588038272,8.90735665195484e-07,2.07439520669574e-12,0.000378891706472838,4.78577819427917e-06,2.20491116346446e-11,0.00119871439783999
CEMIP2,vsBoth,2207,3,2,53.0508450711933,3.02103225819075e-12,2.71557805802385e-11,-1.99426307065847,-5.38684988697954,-5.99771339601246,0.04612331276043,7.17032713898576e-08,2.00115302483443e-09,0.0832907271801042,4.51654900186664e-07,1.547475475726e-08
BTG1,vsBoth,2207,3,2,52.9130419414573,3.23652474700945e-12,2.89815454396469e-11,-2.2600469661231,-5.5646930489854,-5.82626486064039,0.0238183360926917,2.62614257653514e-08,5.66816346550872e-09,0.0456823880786487,1.76152711827322e-07,4.1532205945456e-08
VPS41,vsBoth,2207,3,2,52.7665996319196,3.48239856773376e-12,3.10644105936284e-11,-5.66465822894663,-2.41744471168343,6.12189419588753,1.47317867241337e-08,0.015629908249806,9.24694208925059e-10,1.02092137668337e-07,0.031223833035663,7.42946651867819e-09
RPL27,vsBoth,2207,3,2,52.6594017629051,3.67414419881727e-12,3.27332846803721e-11,-6.62316675189451,-4.06581201618045,4.93013397188457,3.51584015807425e-11,4.78655074362606e-05,8.21732441336496e-07,3.34028145077824e-10,0.000186328005089359,4.43968084106992e-06
AC007405.3,vsBoth,2207,3,2,52.2082339569237,4.6039016900285e-12,4.06385457096357e-11,-5.55987557408172,-2.29285955206394,6.15221481422357,2.69967047263062e-08,0.0218560921485384,7.64082869884272e-10,1.80703749377695e-07,0.0423214226855152,6.20519369799664e-09
TRIL,vsBoth,2207,3,2,52.1429734920556,4.75660591053248e-12,4.18636952944525e-11,-5.38571653924153,-2.04190247872636,6.28149162028082,7.21566050497755e-08,0.0411612058612093,3.35339878784978e-10,4.54310550923554e-07,0.075126148410607,2.85957636361163e-09
APOD,vsBoth,2207,3,2,51.5402139207246,6.42961175106833e-12,5.59801320640536e-11,-5.97932147267079,-7.17561103489051,-1.84935113790791,2.24068978114318e-09,7.19849465878105e-13,0.0644071260680444,1.72154955414636e-08,8.00189808052001e-12,0.112925425848546
PRDM1,vsBoth,2207,3,2,51.3550958733843,7.05314191491375e-12,6.11814327489636e-11,-2.36639916264465,-5.57608847841544,-5.65022963335792,0.0179620666272166,2.45986848497811e-08,1.60233641419659e-08,0.0354084935887613,1.65503604481552e-07,1.10587860256735e-07
RPS13,vsBoth,2207,3,2,51.2694792683838,7.36163078125179e-12,6.37523882289253e-11,-5.52363422675466,-7.09550456333369,-2.54738340504945,3.32058392579848e-08,1.28880401691019e-12,0.0108534115100272,2.19697136587891e-07,1.39844270648819e-11,0.0224654791520621
UBE2K,vsBoth,2207,3,2,51.1913192609912,7.65501880317777e-12,6.61300722357342e-11,-5.4799920959476,-2.23269313957634,6.11275323304991,4.25344837147988e-08,0.0255691871813041,9.79267374761666e-10,2.77632765254904e-07,0.0487400928595822,7.84592089432017e-09
SEMA3C,vsBoth,2207,3,2,51.1852071777673,7.67844864222721e-12,6.63052921687407e-11,-6.57644279010258,-4.10425802935319,4.77469143547268,4.81836267007464e-11,4.05614555187722e-05,1.79983002831911e-06,4.51337308006501e-10,0.00016000513552556,9.1623347308298e-06
SAT1,vsBoth,2207,3,2,50.8692610573614,8.99249721826231e-12,7.70524263476156e-11,-4.8331204488386,-6.8717109763351,-3.42105562552201,1.34409407689922e-06,6.34363829086171e-12,0.000623785723808147,6.99402760167346e-06,6.48055948836336e-11,0.00187007967772887
