Gene,Pattern_6 x Pattern_7,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
ATOX1,vsBoth,431,3,2,13.9032308643083,0.000957087793806599,0.0179456443733462,-2.52612181561078,-3.63373492550985,-0.120895520001929,0.0115329484017455,0.000279347859583721,0.90377379066489,0.0229738785981579,0.00135279017345824,0.986773424501461
UPF3A,vsBoth,431,3,2,13.9022873950624,0.000957539391764966,0.0179456443733462,-2.3668993356747,-3.67508260008999,-0.331444438918548,0.0179378110043886,0.000237772475844234,0.740308802576258,0.0337432074733036,0.00119524553293511,0.846551592564301
CHMP3,vsPattern_7,431,3,2,13.8699014751648,0.000973171008290501,0.0181995481818096,-1.32631188033936,-3.6801406479129,-1.49351250723883,0.184736413280715,0.000233105346168362,0.135303082799479,0.264060254861174,0.00117705104009058,0.200786182610557
LPCAT3,vsPattern_7,431,3,2,13.8516083654961,0.00098211300215951,0.0183471313462248,-1.81775292262879,-3.72165919866806,-0.980127759947478,0.0691019049560659,0.000197918025015836,0.32702305786829,0.110396004576097,0.00105259598156351,0.430474991816079
TCIRG1,vsBoth,431,3,2,13.8418585361418,0.000986912408090834,0.018417092983037,-3.35481650120329,-3.05886421487468,1.26514865778263,0.000794176458900524,0.00222177827203383,0.205818043180553,0.00271332166889001,0.00574492034207138,0.289550628897941
ZNF280D,vsBoth,431,3,2,13.815287178579,0.00100011169593015,0.0186236151309295,-3.08414174905769,-3.32965212966299,0.745440947755955,0.0020414030602358,0.000869545478622314,0.45600519749064,0.00537500817811695,0.00287545061142655,0.571507734210896
POLR2F,vsPattern_7,431,3,2,13.8170769221068,0.000999217124535756,0.0186236151309295,-1.58397070013746,-3.7058471300339,-1.22752679202171,0.113200386875536,0.000210685352729695,0.219624658281289,0.171283815909531,0.00108607367309577,0.305854730187825
SEMA4A,vsBoth,431,3,2,13.8113749726878,0.00100206993199574,0.0186402082025235,-2.78052595604474,-3.51923453193556,0.254599487601555,0.00542709210201321,0.000432793926918438,0.799032454981441,0.0120978928107378,0.00181096453218944,0.897937447533532
SUN2,vsPattern_7,431,3,2,13.7835063695617,0.00101613081338632,0.0188615907730276,-1.59691429912567,-3.70258723941821,-1.21049252818974,0.110284811947485,0.00021341193994984,0.226089956131107,0.167392095838368,0.00109707385866934,0.313595142855924
VPS51,vsBoth,431,3,2,13.7684778576026,0.0010237950398438,0.0189836814872099,-2.47362811948276,-3.62787611305599,-0.174584165977702,0.0133748837874629,0.000285762313838586,0.861406391213542,0.0261674913978486,0.00137496342440108,0.950344887661364
GNB1,vsPattern_7,431,3,2,13.7655904329667,0.00102527417281826,0.0189909480133791,-1.69991372958497,-3.7068956315007,-1.09934906355652,0.0891471540129477,0.000209815357826714,0.271615839278347,0.138433763004211,0.00108505203460674,0.366669144402791
INTS4,vsBoth,431,3,2,13.7549429320981,0.00103074703178257,0.0190720957671039,-3.06716323682791,-3.33045272883891,0.725900922105829,0.00216100809805978,0.000867048841330293,0.467899511190832,0.00561362450443968,0.00287142040747114,0.582991597579344
PILRB,vsBoth,431,3,2,13.7304580928272,0.00104344342821592,0.019286588741426,-3.42662691303473,-2.92222263187045,1.45531511393203,0.000611128103194188,0.00347543018554204,0.145582044333482,0.00227620014563955,0.00831660450150475,0.21443648221392
EEF1D,vsBoth,431,3,2,13.708497460155,0.00105496390060296,0.0193921928491609,-3.33135950110432,-3.05357220818689,1.24331528671934,0.000864229135531409,0.00226134293183189,0.213751673224734,0.00286630681555583,0.00581710082178163,0.298694035905458
DNAJC22,vsBoth,431,3,2,13.7050752792609,0.00105677058451425,0.0193921928491609,-2.59502449593449,-3.57893270602494,0,0.0094584177670224,0.000345000281248797,1,0.0194463062146337,0.00156002266295739,1
PCSK6,vsBoth,431,3,2,13.7047767100047,0.00105692835589404,0.0193921928491609,-2.59499622907942,-3.57889372174089,0,0.00945919567983738,0.000345051741651011,1,0.0194463062146337,0.00156002266295739,1
PKNOX1,vsBoth,431,3,2,13.7050752792609,0.00105677058451425,0.0193921928491609,-2.59502449593449,-3.57893270602494,0,0.0094584177670224,0.000345000281248797,1,0.0194463062146337,0.00156002266295739,1
ELK1,vsPattern_7,431,3,2,13.705186077876,0.00105671204177723,0.0193921928491609,-1.63680853589859,-3.69535127681829,-1.16025880635479,0.101670481637709,0.000219582985045766,0.245943450781411,0.155728406434854,0.00112137038044963,0.336972520674287
