"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.49488366244034e-28,1.42869649146436,0.825,0.163,1.88796119456872e-24,"0","ADH1B"
1.22753784203508e-28,1.34915793717356,0.856,0.202,3.09216782408637e-25,"0","CES1"
2.6640500821805e-23,1.33224284224493,0.753,0.116,6.71074215701267e-20,"0","APOB"
3.71986405962171e-15,1.27804788237266,0.742,0.24,9.37033756618709e-12,"0","NEAT1"
6.0621610871663e-26,1.13931913983071,0.979,0.713,1.52705837785719e-22,"0","MT-ND4L"
8.75807649319283e-27,1.11273589054467,1,0.86,2.20615946863527e-23,"0","MT-CYB"
2.73124611848601e-17,1.11096684893428,0.639,0.078,6.88000897246625e-14,"0","TF"
1.81775577960073e-16,1.09198811353704,0.907,0.558,4.57892680881425e-13,"0","CYP2E1"
1.20554198303357e-20,1.09106624289793,1,0.938,3.03676025526157e-17,"0","MT-CO2"
6.2686144674596e-19,1.05960284932611,0.845,0.341,1.57906398435307e-15,"0","APOH"
5.43728485233666e-14,1.04927000157117,0.763,0.24,1.36965205430361e-10,"0","GLUL"
7.22349622143121e-16,0.942470470261489,0.711,0.202,1.81959869817852e-12,"0","EPHX1"
1.54071617845929e-14,0.932551316346896,0.804,0.419,3.88106405353895e-11,"0","MT-ND2"
5.65489944672587e-13,0.870099807880138,0.773,0.326,1.42446917063025e-09,"0","AMBP"
5.20494416233853e-11,0.863826617933633,0.732,0.341,1.31112543449308e-07,"0","APOA1"
1.19569104292824e-16,0.862030039538052,0.99,0.953,3.01194573713623e-13,"0","MT-CO1"
1.38311976877116e-11,0.841098497884157,0.845,0.38,3.48407869753455e-08,"0","MT-ND1"
9.0970062111162e-12,0.831284208057201,0.784,0.38,2.29153586458017e-08,"0","MT-ND4"
2.39306805976819e-13,0.779430865127478,0.979,0.767,6.02813844255607e-10,"0","APOE"
3.69504205747298e-07,0.74514459717978,0.546,0.14,0.000930781094277443,"0","FGB"
9.18629293719136e-12,0.740622038489086,0.804,0.302,2.3140271908785e-08,"0","MT-ND5"
6.83121374318505e-08,0.719309727562343,0.969,0.752,0.000172078274190831,"0","RBP4"
1.9605424827992e-08,0.680501046051516,0.526,0.124,4.93860651417118e-05,"0","FGA"
1.20408022824676e-09,0.677208473209161,0.619,0.194,3.03307809495358e-06,"0","VTN"
8.97965182222447e-09,0.662499101192177,0.526,0.194,2.26197429401834e-05,"0","FN1"
3.27991932650775e-07,0.66148666813287,0.588,0.155,0.000826211678347302,"0","FGG"
4.29010386213022e-10,0.639791597033551,0.67,0.217,1.0806771628706e-06,"0","AHSG"
1.33661946646889e-08,0.626942156522507,0.959,0.837,3.36694443603515e-05,"0","MT-CO3"
2.0958328382223e-08,0.613622588529242,0.711,0.271,5.27940291948197e-05,"0","AKR1C1"
2.298396327902e-05,0.597006730536755,0.557,0.194,0.0578966034998514,"0","SPP1"
1.35826770945444e-06,0.586885977819581,0.546,0.186,0.00342147636011573,"0","ALB"
6.70495320894162e-07,0.567050225557506,0.67,0.287,0.00168897771333239,"0","GPX4"
2.46876090774734e-08,0.557165279699581,0.402,0.078,6.21880872661554e-05,"0","CYP2C9"
9.31075093881211e-07,0.553333418108555,0.577,0.225,0.00234537816148677,"0","MT-ND3"
4.96019267256051e-09,0.549761183205271,0.464,0.078,1.24947253421799e-05,"0","SULT2A1"
2.31650609049971e-08,0.546969512593693,0.423,0.093,5.83527884196878e-05,"0","AKR1C4"
1.17954309070358e-08,0.531608646953838,0.412,0.07,2.97126904548233e-05,"0","UGT2B4"
2.92975923319271e-08,0.512243322086907,0.412,0.054,7.38006350841243e-05,"0","ALDH1L1"
6.09559667961035e-06,0.511381368340049,0.577,0.271,0.0153548080359385,"0","IGFBP2"
2.2291395633909e-08,0.508830919150389,0.454,0.101,5.61520256018168e-05,"0","SERPINC1"
0.000291948637421958,0.508762753351945,0.897,0.736,0.735418617665911,"0","MALAT1"
1.31209178561645e-07,0.49148476192011,0.371,0.078,0.000330515920796784,"0","HPX"
4.71793942403325e-08,0.490385984227325,0.454,0.093,0.000118844894091397,"0","ALDH1A1"
0.00159583397762293,0.470903209525926,0.959,0.791,1,"0","SERPINA1"
1.84560515435801e-07,0.460557932255976,0.402,0.116,0.000464907938382782,"0","GATM"
5.71360111323295e-05,0.440025709877653,0.629,0.333,0.143925612042338,"0","PEBP1"
5.65818300410834e-06,0.430810588861923,0.381,0.109,0.0142529629873489,"0","MT-ATP8"
1.96177123542606e-06,0.421582748689954,0.34,0.07,0.00494170174203825,"0","CYP27A1"
7.36940995672406e-06,0.390405423473146,0.32,0.054,0.0185635436809879,"0","GLUD1"
8.8945926264223e-06,0.380940764192608,0.361,0.093,0.0224054788259578,"0","CANX"
2.24220534231772e-13,1.80748064163774,0.76,0.013,5.64811525729833e-10,"1","TMSB4X"
6.06596800164122e-08,1.45514549288494,0.453,0.007,0.000152801733961342,"1","HLA-DRA"
4.09923130992879e-27,1.38551451106893,0.787,0.318,1.03259636697106e-23,"1","ACTB"
2.91683813569157e-19,1.34055928331957,0.64,0.04,7.34751526380706e-16,"1","TMSB10"
9.19082360269089e-30,1.34046310044404,0.853,0.404,2.31516846551784e-26,"1","B2M"
2.57156573431356e-08,0.951870550972911,0.32,0.007,6.47777408473586e-05,"1","IGFBP7"
2.38544174012362e-10,0.919855888173186,0.467,0.272,6.00892774337139e-07,"1","CST3"
2.38667930457111e-14,0.915871614007004,0.52,0.046,6.01204516821462e-11,"1","HLA-B"
