"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.97551434810144e-09,0.851323964912465,0.373,0.02,4.97632064286754e-06,"1","HSPA1A"
4.02127911309178e-07,0.611036672338923,0.467,0.285,0.00101296020858782,"1","PTMA"
7.72927214519067e-08,0.591859462022714,0.4,0.166,0.000194700365337353,"1","PFN1"
9.91153500336313e-08,0.560601217627017,0.387,0.126,0.000249671566734717,"1","HLA-A"
3.87928457591559e-05,0.556074401735718,0.253,0.007,0.0977191784673137,"1","LGALS1"
1.78321944867472e-08,0.529593107709584,0.347,0.053,4.49192979121161e-05,"1","SH3BGRL3"
0.000157322937951571,0.521697984142673,0.693,0.636,0.396296480700008,"1","RPLP1"
7.88899238389729e-05,0.520925686407175,0.573,0.49,0.198723718150373,"1","RPL10"
8.29713293282496e-08,0.510015039338686,0.333,0.086,0.000209004778577861,"1","PSAP"
3.85349543659365e-07,0.510015039338686,0.307,0.086,0.000970695500477941,"1","SAT1"
4.61049026154035e-07,0.50569515875536,0.373,0.132,0.00116138249688201,"1","MYL6"
6.7598005674934e-07,0.496325013462231,0.253,0.04,0.00170279376295159,"1","IFITM2"
7.1951445870628e-05,0.464488008985982,0.533,0.397,0.181245692148112,"1","RPL28"
3.82380173178025e-05,0.453574921804171,0.52,0.364,0.0963215656235446,"1","RPL32"
1.32589424805135e-06,0.449714529070872,0.347,0.132,0.00333992761084135,"1","HLA-C"
2.7229126490109e-05,0.439971512441478,0.373,0.225,0.0685901696285845,"1","RPLP2"
0.000742814208880869,0.421399647233756,0.493,0.331,1,"1","TPT1"
0.000891700474536567,0.402787746867569,0.44,0.417,1,"1","RPS18"
4.0858751561357e-06,0.377317833329685,0.253,0.026,0.0102923195183058,"1","JUN"
0.00447499773274177,0.372784616588424,0.56,0.404,1,"1","RPS12"
0.000744407894958114,0.359528519886157,0.427,0.291,1,"1","RPS24"
0.000429667977354016,0.3431421459694,0.253,0.139,1,"1","CFL1"
0.00748803828196141,0.342161387916069,0.56,0.57,1,"1","GAPDH"
0.0062267206626638,0.315475933624789,0.333,0.252,1,"1","RPS9"
0.00398670084735069,0.285501745959724,0.467,0.391,1,"1","RPL18"
4.25633706819156e-14,1.21194563390133,1,0.843,1.07217130747745e-10,"2","APOA2"
3.07454343270401e-07,0.840563357657037,1,0.82,0.00077447749069814,"2","SERPINA1"
1.77940245488263e-09,0.808193942169003,0.907,0.64,4.48231478384934e-06,"2","APOC2"
7.28706728986063e-07,0.792058734961092,0.704,0.378,0.00183561225031589,"2","APOC3"
1.71453455964439e-07,0.767379072415983,0.87,0.669,0.000431891255574422,"2","APOC1"
3.98096977856161e-11,0.731210502055812,0.852,0.488,1.00280628721967e-07,"2","RPL8"
1.47606239708711e-10,0.621253773112793,0.611,0.169,3.71820117826243e-07,"2","UQCRQ"
0.000398481028868426,0.563797365338815,0.981,0.802,1,"2","RBP4"
1.20210637377631e-08,0.548980621178903,0.556,0.186,3.02810595554253e-05,"2","HINT1"
0.00432807624473038,0.542833131917569,0.981,0.674,1,"2","FTH1"
8.88481755330917e-06,0.502622794804255,0.778,0.483,0.0223808554167858,"2","RPS8"
8.22534141312964e-08,0.496058992326098,0.519,0.145,0.000207196350196736,"2","SOD1"
5.08822472679474e-08,0.495805687955175,0.444,0.093,0.000128172380867959,"2","RPL7"
2.29009787899197e-06,0.473840019888457,0.481,0.192,0.00576875655718078,"2","PRAP1"
0.00115644326352411,0.461584867981815,0.648,0.314,1,"2","RPL30"
1.55947017282436e-05,0.455243821673864,0.63,0.244,0.0392830536534457,"2","RPL12"
1.4597147789789e-05,0.444462272511487,0.5,0.186,0.0367702152824785,"2","MGST1"
0.000601946961669617,0.436911998901606,0.556,0.262,1,"2","RPS13"
1.68110194601593e-06,0.424364864429178,0.481,0.116,0.00423469580201413,"2","NME2"
6.548761861777e-05,0.421239840719277,0.593,0.314,0.164963311298163,"2","RPS7"
0.00510578798171638,0.419313964525839,0.519,0.314,1,"2","TTR"
0.000124570274775839,0.416563353509804,0.407,0.18,0.31379252216034,"2","MIF"
0.000600245578213731,0.409456467015544,0.593,0.337,1,"2","RPS14"
0.000929861847676888,0.407219689745898,0.648,0.308,1,"2","RPL11"
0.00933790803904602,0.404273182395789,0.815,0.605,1,"2","RPLP1"
0.00133074529678149,0.404273182395788,0.741,0.372,1,"2","PEBP1"
6.65932083020685e-06,0.403604927698172,0.315,0.047,0.0167748291712911,"2","HULC"
1.17846772433982e-05,0.401288089170885,0.481,0.169,0.0296856019761201,"2","PTGR1"
8.90491808360201e-05,0.398358758132213,0.574,0.267,0.224314886525935,"2","RPL37"
0.000885802547896001,0.387074229951184,0.593,0.285,1,"2","RPL29"
0.002007062611333,0.377505442782243,0.778,0.535,1,"2","RPL13"
0.000276238556972361,0.370717774404918,0.352,0.151,0.695844925013377,"2","NQO1"
0.00490578814385668,0.361274593048057,0.574,0.25,1,"2","RPL26"
0.00112104812726645,0.359433246223889,0.463,0.18,1,"2","RPS3A"
0.000228250220903221,0.356503915185218,0.407,0.151,0.574962306455213,"2","EEF1B2"
0.000271494333022374,0.353106181259356,0.315,0.128,0.68389422488336,"2","FABP1"
7.19170830877263e-05,0.353015772671459,0.444,0.157,0.181159132297982,"2","EEF1D"
0.00295605792006482,0.346415097561634,0.537,0.267,1,"2","RPL36"
5.75530864481297e-06,0.341456366897736,0.278,0.052,0.0144976224762839,"2","APOM"
0.0031952332710782,0.336090774796248,0.426,0.186,1,"2","SERF2"
9.19609979132718e-05,0.334727651944501,0.407,0.128,0.231649753743532,"2","NPM1"
0.00228150351319613,0.328775589386517,0.574,0.308,1,"2","RPS28"
0.00335284432163431,0.326418188995926,0.444,0.209,1,"2","PPIA"
0.00456073087923826,0.321343819970913,0.741,0.494,1,"2","RPL19"
0.00135702175320589,0.316282293716068,0.463,0.227,1,"2","FAU"
0.00690556318772444,0.310787537282162,0.315,0.157,1,"2","AKR1C2"
0.005352698214159,0.306380435759381,0.611,0.343,1,"2","RPS23"
0.00241932653129441,0.297918857011185,0.519,0.262,1,"2","CYB5A"
0.0054161028512144,0.295677901210286,0.315,0.157,1,"2","TXN"
0.000904162088634403,0.287112102054602,0.389,0.145,1,"2","RPL5"
